StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.110000,0.500000,0.050000,2.880000,347.222222,"0085.png"
0.110000,0.500000,0.100000,2.990000,334.448161,"0086.png"
0.110000,0.500000,0.150000,3.700000,270.270270,"0087.png"
0.110000,0.500000,0.200000,3.930000,254.452926,"0088.png"
0.110000,0.500000,0.250000,3.690000,271.002710,"0089.png"
0.110000,0.750000,0.050000,2.100000,476.190476,"0090.png"
0.110000,0.750000,0.100000,2.280000,438.596491,"0091.png"
0.110000,0.750000,0.150000,2.480000,403.225806,"0092.png"
0.110000,0.750000,0.200000,2.690000,371.747212,"0093.png"
0.110000,0.750000,0.250000,2.850000,350.877193,"0094.png"
0.110000,1.000000,0.050000,1.770000,564.971751,"0095.png"
0.110000,1.000000,0.100000,1.970000,507.614213,"0096.png"
0.110000,1.000000,0.150000,3.050000,327.868852,"0097.png"
0.110000,1.000000,0.200000,2.410000,414.937759,"0098.png"
0.110000,1.000000,0.250000,2.700000,370.370370,"0099.png"
0.110000,1.250000,0.050000,1.750000,571.428571,"0100.png"
0.110000,1.250000,0.100000,1.870000,534.759358,"0101.png"
0.110000,1.250000,0.150000,2.010000,497.512438,"0102.png"
0.110000,1.250000,0.200000,2.650000,377.358491,"0103.png"
0.110000,1.250000,0.250000,2.630000,380.228137,"0104.png"
0.110000,1.500000,0.050000,1.440000,694.444444,"0105.png"
0.110000,1.500000,0.100000,1.630000,613.496933,"0106.png"
0.110000,1.500000,0.150000,1.990000,502.512563,"0107.png"
0.110000,1.500000,0.200000,2.140000,467.289720,"0108.png"
0.110000,1.500000,0.250000,2.720000,367.647059,"0109.png"
0.110000,1.750000,0.050000,1.550000,645.161290,"0110.png"
0.110000,1.750000,0.100000,1.660000,602.409639,"0111.png"
0.110000,1.750000,0.150000,1.950000,512.820513,"0112.png"
0.110000,1.750000,0.200000,3.010000,332.225914,"0113.png"
0.110000,1.750000,0.250000,2.360000,423.728814,"0114.png"
