StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.110000,0.500000,0.050000,1.500000,666.666667,"0085.png"
0.110000,0.500000,0.100000,1.620000,617.283951,"0086.png"
0.110000,0.500000,0.150000,1.790000,558.659218,"0087.png"
0.110000,0.500000,0.200000,1.980000,505.050505,"0088.png"
0.110000,0.500000,0.250000,2.040000,490.196078,"0089.png"
0.110000,0.750000,0.050000,1.370000,729.927007,"0090.png"
0.110000,0.750000,0.100000,1.510000,662.251656,"0091.png"
0.110000,0.750000,0.150000,1.690000,591.715976,"0092.png"
0.110000,0.750000,0.200000,1.760000,568.181818,"0093.png"
0.110000,0.750000,0.250000,1.890000,529.100529,"0094.png"
0.110000,1.000000,0.050000,1.300000,769.230769,"0095.png"
0.110000,1.000000,0.100000,1.440000,694.444444,"0096.png"
0.110000,1.000000,0.150000,1.630000,613.496933,"0097.png"
0.110000,1.000000,0.200000,1.720000,581.395349,"0098.png"
0.110000,1.000000,0.250000,1.790000,558.659218,"0099.png"
0.110000,1.250000,0.050000,1.340000,746.268657,"0100.png"
0.110000,1.250000,0.100000,1.540000,649.350649,"0101.png"
0.110000,1.250000,0.150000,1.670000,598.802395,"0102.png"
0.110000,1.250000,0.200000,1.870000,534.759358,"0103.png"
0.110000,1.250000,0.250000,1.880000,531.914894,"0104.png"
0.110000,1.500000,0.050000,1.370000,729.927007,"0105.png"
0.110000,1.500000,0.100000,1.470000,680.272109,"0106.png"
0.110000,1.500000,0.150000,1.660000,602.409639,"0107.png"
0.110000,1.500000,0.200000,1.820000,549.450549,"0108.png"
0.110000,1.500000,0.250000,1.850000,540.540541,"0109.png"
0.110000,1.750000,0.050000,1.310000,763.358779,"0110.png"
0.110000,1.750000,0.100000,1.460000,684.931507,"0111.png"
0.110000,1.750000,0.150000,1.650000,606.060606,"0112.png"
0.110000,1.750000,0.200000,1.810000,552.486188,"0113.png"
0.110000,1.750000,0.250000,1.780000,561.797753,"0114.png"
0.110000,2.000000,0.050000,1.280000,781.250000,"0115.png"
0.110000,2.000000,0.100000,1.360000,735.294118,"0116.png"
0.110000,2.000000,0.150000,1.460000,684.931507,"0117.png"
0.110000,2.000000,0.200000,1.610000,621.118012,"0118.png"
0.110000,2.000000,0.250000,1.780000,561.797753,"0119.png"
