StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,6.290000,158.982512,"0000.png"
0.010000,0.250000,0.100000,9.320000,107.296137,"0001.png"
0.010000,0.250000,0.150000,10.700000,93.457944,"0002.png"
0.010000,0.250000,0.200000,13.380000,74.738416,"0003.png"
0.010000,0.250000,0.250000,12.610000,79.302141,"0004.png"
0.010000,0.500000,0.050000,5.150000,194.174757,"0005.png"
0.010000,0.500000,0.100000,7.210000,138.696255,"0006.png"
0.010000,0.500000,0.150000,8.790000,113.765643,"0007.png"
0.010000,0.500000,0.200000,9.940000,100.603622,"0008.png"
0.010000,0.500000,0.250000,11.260000,88.809947,"0009.png"
0.010000,0.750000,0.050000,4.640000,215.517241,"0010.png"
0.010000,0.750000,0.100000,7.110000,140.646976,"0011.png"
0.010000,0.750000,0.150000,8.940000,111.856823,"0012.png"
0.010000,0.750000,0.200000,11.860000,84.317032,"0013.png"
0.010000,0.750000,0.250000,11.340000,88.183422,"0014.png"
0.010000,1.000000,0.050000,5.190000,192.678227,"0015.png"
0.010000,1.000000,0.100000,9.080000,110.132159,"0016.png"
0.010000,1.000000,0.150000,10.580000,94.517958,"0017.png"
0.010000,1.000000,0.200000,13.320000,75.075075,"0018.png"
0.010000,1.000000,0.250000,12.180000,82.101806,"0019.png"
0.010000,1.250000,0.050000,4.240000,235.849057,"0020.png"
0.010000,1.250000,0.100000,6.390000,156.494523,"0021.png"
0.010000,1.250000,0.150000,8.140000,122.850123,"0022.png"
0.010000,1.250000,0.200000,9.380000,106.609808,"0023.png"
0.010000,1.250000,0.250000,10.480000,95.419847,"0024.png"
0.010000,1.500000,0.050000,4.120000,242.718447,"0025.png"
0.010000,1.500000,0.100000,6.250000,160.000000,"0026.png"
0.010000,1.500000,0.150000,7.870000,127.064803,"0027.png"
0.010000,1.500000,0.200000,9.200000,108.695652,"0028.png"
0.010000,1.500000,0.250000,12.400000,80.645161,"0029.png"
0.010000,1.750000,0.050000,4.340000,230.414747,"0030.png"
0.010000,1.750000,0.100000,8.170000,122.399021,"0031.png"
0.010000,1.750000,0.150000,8.880000,112.612613,"0032.png"
0.010000,1.750000,0.200000,10.360000,96.525097,"0033.png"
0.010000,1.750000,0.250000,10.070000,99.304866,"0034.png"
0.010000,2.000000,0.050000,3.850000,259.740260,"0035.png"
0.010000,2.000000,0.100000,6.620000,151.057402,"0036.png"
0.010000,2.000000,0.150000,7.840000,127.551020,"0037.png"
0.010000,2.000000,0.200000,8.990000,111.234705,"0038.png"
0.010000,2.000000,0.250000,10.820000,92.421442,"0039.png"
0.060000,0.250000,0.050000,2.790000,358.422939,"0040.png"
0.060000,0.250000,0.100000,3.270000,305.810398,"0041.png"
0.060000,0.250000,0.150000,3.510000,284.900285,"0042.png"
0.060000,0.250000,0.200000,3.510000,284.900285,"0043.png"
0.060000,0.250000,0.250000,4.230000,236.406619,"0044.png"
0.060000,0.500000,0.050000,1.930000,518.134715,"0045.png"
0.060000,0.500000,0.100000,2.350000,425.531915,"0046.png"
0.060000,0.500000,0.150000,2.710000,369.003690,"0047.png"
0.060000,0.500000,0.200000,3.150000,317.460317,"0048.png"
0.060000,0.500000,0.250000,3.240000,308.641975,"0049.png"
0.060000,0.750000,0.050000,1.810000,552.486188,"0050.png"
0.060000,0.750000,0.100000,2.430000,411.522634,"0051.png"
0.060000,0.750000,0.150000,2.560000,390.625000,"0052.png"
0.060000,0.750000,0.200000,2.710000,369.003690,"0053.png"
0.060000,0.750000,0.250000,2.980000,335.570470,"0054.png"
0.060000,1.000000,0.050000,1.580000,632.911392,"0055.png"
0.060000,1.000000,0.100000,1.950000,512.820513,"0056.png"
0.060000,1.000000,0.150000,2.270000,440.528634,"0057.png"
0.060000,1.000000,0.200000,2.560000,390.625000,"0058.png"
0.060000,1.000000,0.250000,2.780000,359.712230,"0059.png"
0.060000,1.250000,0.050000,1.460000,684.931507,"0060.png"
0.060000,1.250000,0.100000,1.810000,552.486188,"0061.png"
0.060000,1.250000,0.150000,2.290000,436.681223,"0062.png"
0.060000,1.250000,0.200000,2.450000,408.163265,"0063.png"
0.060000,1.250000,0.250000,2.710000,369.003690,"0064.png"
0.060000,1.500000,0.050000,1.420000,704.225352,"0065.png"
0.060000,1.500000,0.100000,1.820000,549.450549,"0066.png"
0.060000,1.500000,0.150000,2.320000,431.034483,"0067.png"
0.060000,1.500000,0.200000,2.590000,386.100386,"0068.png"
0.060000,1.500000,0.250000,2.680000,373.134328,"0069.png"
0.060000,1.750000,0.050000,1.340000,746.268657,"0070.png"
0.060000,1.750000,0.100000,1.830000,546.448087,"0071.png"
0.060000,1.750000,0.150000,2.040000,490.196078,"0072.png"
0.060000,1.750000,0.200000,2.310000,432.900433,"0073.png"
0.060000,1.750000,0.250000,2.490000,401.606426,"0074.png"
0.060000,2.000000,0.050000,1.320000,757.575758,"0075.png"
0.060000,2.000000,0.100000,1.740000,574.712644,"0076.png"
0.060000,2.000000,0.150000,2.010000,497.512438,"0077.png"
0.060000,2.000000,0.200000,2.330000,429.184549,"0078.png"
0.060000,2.000000,0.250000,2.490000,401.606426,"0079.png"
0.110000,0.250000,0.050000,2.920000,342.465753,"0080.png"
0.110000,0.250000,0.100000,2.970000,336.700337,"0081.png"
0.110000,0.250000,0.150000,2.810000,355.871886,"0082.png"
0.110000,0.250000,0.200000,2.910000,343.642612,"0083.png"
0.110000,0.250000,0.250000,3.150000,317.460317,"0084.png"
0.110000,0.500000,0.050000,1.830000,546.448087,"0085.png"
0.110000,0.500000,0.100000,1.970000,507.614213,"0086.png"
