StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.110000,0.500000,0.050000,6.130000,163.132137,"0085.png"
0.110000,0.500000,0.100000,6.630000,150.829563,"0086.png"
0.110000,0.500000,0.150000,6.830000,146.412884,"0087.png"
0.110000,0.500000,0.200000,7.100000,140.845070,"0088.png"
0.110000,0.500000,0.250000,7.310000,136.798906,"0089.png"
0.110000,0.750000,0.050000,4.960000,201.612903,"0090.png"
0.110000,0.750000,0.100000,5.190000,192.678227,"0091.png"
0.110000,0.750000,0.150000,5.510000,181.488203,"0092.png"
0.110000,0.750000,0.200000,5.850000,170.940171,"0093.png"
0.110000,0.750000,0.250000,6.020000,166.112957,"0094.png"
0.110000,1.000000,0.050000,4.110000,243.309002,"0095.png"
0.110000,1.000000,0.100000,4.410000,226.757370,"0096.png"
0.110000,1.000000,0.150000,4.680000,213.675214,"0097.png"
0.110000,1.000000,0.200000,5.000000,200.000000,"0098.png"
0.110000,1.000000,0.250000,5.310000,188.323917,"0099.png"
0.110000,1.250000,0.050000,3.550000,281.690141,"0100.png"
0.110000,1.250000,0.100000,3.850000,259.740260,"0101.png"
0.110000,1.250000,0.150000,4.170000,239.808153,"0102.png"
0.110000,1.250000,0.200000,4.470000,223.713647,"0103.png"
0.110000,1.250000,0.250000,4.720000,211.864407,"0104.png"
0.110000,1.500000,0.050000,3.220000,310.559006,"0105.png"
0.110000,1.500000,0.100000,3.560000,280.898876,"0106.png"
0.110000,1.500000,0.150000,3.850000,259.740260,"0107.png"
0.110000,1.500000,0.200000,4.110000,243.309002,"0108.png"
0.110000,1.500000,0.250000,4.410000,226.757370,"0109.png"
0.110000,1.750000,0.050000,3.020000,331.125828,"0110.png"
0.110000,1.750000,0.100000,3.340000,299.401198,"0111.png"
0.110000,1.750000,0.150000,3.610000,277.008310,"0112.png"
0.110000,1.750000,0.200000,3.880000,257.731959,"0113.png"
0.110000,1.750000,0.250000,4.130000,242.130751,"0114.png"
0.110000,2.000000,0.050000,2.870000,348.432056,"0115.png"
0.110000,2.000000,0.100000,3.100000,322.580645,"0116.png"
0.110000,2.000000,0.150000,3.430000,291.545190,"0117.png"
0.110000,2.000000,0.200000,3.710000,269.541779,"0118.png"
0.110000,2.000000,0.250000,3.990000,250.626566,"0119.png"
0.160000,0.250000,0.050000,10.670000,93.720712,"0120.png"
0.160000,0.250000,0.100000,10.770000,92.850511,"0121.png"
0.160000,0.250000,0.150000,10.880000,91.911765,"0122.png"
0.160000,0.250000,0.200000,10.930000,91.491308,"0123.png"
0.160000,0.250000,0.250000,11.070000,90.334237,"0124.png"
0.160000,0.500000,0.050000,6.120000,163.398693,"0125.png"
0.160000,0.500000,0.100000,6.240000,160.256410,"0126.png"
0.160000,0.500000,0.150000,6.480000,154.320988,"0127.png"
0.160000,0.500000,0.200000,6.670000,149.925037,"0128.png"
0.160000,0.500000,0.250000,6.860000,145.772595,"0129.png"
0.160000,0.750000,0.050000,4.790000,208.768267,"0130.png"
0.160000,0.750000,0.100000,4.940000,202.429150,"0131.png"
0.160000,0.750000,0.150000,5.120000,195.312500,"0132.png"
0.160000,0.750000,0.200000,5.340000,187.265918,"0133.png"
0.160000,0.750000,0.250000,5.550000,180.180180,"0134.png"
0.160000,1.000000,0.050000,4.000000,250.000000,"0135.png"
0.160000,1.000000,0.100000,4.150000,240.963855,"0136.png"
0.160000,1.000000,0.150000,4.370000,228.832952,"0137.png"
0.160000,1.000000,0.200000,4.510000,221.729490,"0138.png"
0.160000,1.000000,0.250000,4.750000,210.526316,"0139.png"
0.160000,1.250000,0.050000,3.510000,284.900285,"0140.png"
0.160000,1.250000,0.100000,3.680000,271.739130,"0141.png"
0.160000,1.250000,0.150000,3.870000,258.397933,"0142.png"
0.160000,1.250000,0.200000,4.050000,246.913580,"0143.png"
0.160000,1.250000,0.250000,4.250000,235.294118,"0144.png"
0.160000,1.500000,0.050000,3.190000,313.479624,"0145.png"
