StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.110000,0.500000,0.050000,5.720000,174.825175,"0085.png"
0.110000,0.500000,0.100000,5.870000,170.357751,"0086.png"
0.110000,0.500000,0.150000,5.890000,169.779287,"0087.png"
0.110000,0.500000,0.200000,6.010000,166.389351,"0088.png"
0.110000,0.500000,0.250000,6.270000,159.489633,"0089.png"
0.110000,0.750000,0.050000,4.100000,243.902439,"0090.png"
0.110000,0.750000,0.100000,4.280000,233.644860,"0091.png"
0.110000,0.750000,0.150000,4.490000,222.717149,"0092.png"
0.110000,0.750000,0.200000,4.650000,215.053763,"0093.png"
0.110000,0.750000,0.250000,4.840000,206.611570,"0094.png"
0.110000,1.000000,0.050000,3.250000,307.692308,"0095.png"
0.110000,1.000000,0.100000,3.480000,287.356322,"0096.png"
0.110000,1.000000,0.150000,3.660000,273.224044,"0097.png"
0.110000,1.000000,0.200000,3.850000,259.740260,"0098.png"
0.110000,1.000000,0.250000,4.040000,247.524752,"0099.png"
0.110000,1.250000,0.050000,2.780000,359.712230,"0100.png"
0.110000,1.250000,0.100000,2.950000,338.983051,"0101.png"
0.110000,1.250000,0.150000,3.140000,318.471338,"0102.png"
0.110000,1.250000,0.200000,3.340000,299.401198,"0103.png"
0.110000,1.250000,0.250000,3.510000,284.900285,"0104.png"
0.110000,1.500000,0.050000,2.400000,416.666667,"0105.png"
0.110000,1.500000,0.100000,2.630000,380.228137,"0106.png"
0.110000,1.500000,0.150000,2.830000,353.356890,"0107.png"
0.110000,1.500000,0.200000,2.940000,340.136054,"0108.png"
0.110000,1.500000,0.250000,3.170000,315.457413,"0109.png"
0.110000,1.750000,0.050000,2.150000,465.116279,"0110.png"
0.110000,1.750000,0.100000,2.360000,423.728814,"0111.png"
0.110000,1.750000,0.150000,2.550000,392.156863,"0112.png"
0.110000,1.750000,0.200000,2.750000,363.636364,"0113.png"
0.110000,1.750000,0.250000,2.920000,342.465753,"0114.png"
0.110000,2.000000,0.050000,1.960000,510.204082,"0115.png"
0.110000,2.000000,0.100000,2.180000,458.715596,"0116.png"
0.110000,2.000000,0.150000,2.390000,418.410042,"0117.png"
0.110000,2.000000,0.200000,2.580000,387.596899,"0118.png"
0.110000,2.000000,0.250000,2.810000,355.871886,"0119.png"
0.160000,0.250000,0.050000,9.840000,101.626016,"0120.png"
0.160000,0.250000,0.100000,9.870000,101.317123,"0121.png"
0.160000,0.250000,0.150000,9.960000,100.401606,"0122.png"
0.160000,0.250000,0.200000,10.030000,99.700897,"0123.png"
0.160000,0.250000,0.250000,10.030000,99.700897,"0124.png"
0.160000,0.500000,0.050000,5.590000,178.890877,"0125.png"
0.160000,0.500000,0.100000,5.680000,176.056338,"0126.png"
0.160000,0.500000,0.150000,5.810000,172.117040,"0127.png"
0.160000,0.500000,0.200000,5.900000,169.491525,"0128.png"
0.160000,0.500000,0.250000,5.900000,169.491525,"0129.png"
0.160000,0.750000,0.050000,4.000000,250.000000,"0130.png"
0.160000,0.750000,0.100000,4.130000,242.130751,"0131.png"
0.160000,0.750000,0.150000,4.250000,235.294118,"0132.png"
0.160000,0.750000,0.200000,4.360000,229.357798,"0133.png"
0.160000,0.750000,0.250000,4.500000,222.222222,"0134.png"
0.160000,1.000000,0.050000,3.170000,315.457413,"0135.png"
0.160000,1.000000,0.100000,3.290000,303.951368,"0136.png"
0.160000,1.000000,0.150000,3.450000,289.855072,"0137.png"
0.160000,1.000000,0.200000,3.560000,280.898876,"0138.png"
0.160000,1.000000,0.250000,3.690000,271.002710,"0139.png"
0.160000,1.250000,0.050000,2.690000,371.747212,"0140.png"
0.160000,1.250000,0.100000,2.820000,354.609929,"0141.png"
0.160000,1.250000,0.150000,2.930000,341.296928,"0142.png"
0.160000,1.250000,0.200000,3.060000,326.797386,"0143.png"
0.160000,1.250000,0.250000,3.200000,312.500000,"0144.png"
0.160000,1.500000,0.050000,2.340000,427.350427,"0145.png"
0.160000,1.500000,0.100000,2.480000,403.225806,"0146.png"
0.160000,1.500000,0.150000,2.600000,384.615385,"0147.png"
0.160000,1.500000,0.200000,2.720000,367.647059,"0148.png"
0.160000,1.500000,0.250000,2.900000,344.827586,"0149.png"
0.160000,1.750000,0.050000,2.080000,480.769231,"0150.png"
0.160000,1.750000,0.100000,2.220000,450.450450,"0151.png"
0.160000,1.750000,0.150000,2.360000,423.728814,"0152.png"
0.160000,1.750000,0.200000,2.480000,403.225806,"0153.png"
0.160000,1.750000,0.250000,2.610000,383.141762,"0154.png"
0.160000,2.000000,0.050000,1.890000,529.100529,"0155.png"
0.160000,2.000000,0.100000,2.040000,490.196078,"0156.png"
0.160000,2.000000,0.150000,2.170000,460.829493,"0157.png"
0.160000,2.000000,0.200000,2.280000,438.596491,"0158.png"
0.160000,2.000000,0.250000,2.430000,411.522634,"0159.png"
0.210000,0.250000,0.050000,9.800000,102.040816,"0160.png"
0.210000,0.250000,0.100000,9.770000,102.354145,"0161.png"
0.210000,0.250000,0.150000,9.780000,102.249489,"0162.png"
0.210000,0.250000,0.200000,9.820000,101.832994,"0163.png"
0.210000,0.250000,0.250000,9.830000,101.729400,"0164.png"
0.210000,0.500000,0.050000,5.580000,179.211470,"0165.png"
0.210000,0.500000,0.100000,5.640000,177.304965,"0166.png"
0.210000,0.500000,0.150000,5.730000,174.520070,"0167.png"
0.210000,0.500000,0.200000,5.780000,173.010381,"0168.png"
0.210000,0.500000,0.250000,5.860000,170.648464,"0169.png"
0.210000,0.750000,0.050000,3.970000,251.889169,"0170.png"
0.210000,0.750000,0.100000,4.050000,246.913580,"0171.png"
0.210000,0.750000,0.150000,4.140000,241.545894,"0172.png"
0.210000,0.750000,0.200000,4.230000,236.406619,"0173.png"
0.210000,0.750000,0.250000,4.330000,230.946882,"0174.png"
0.210000,1.000000,0.050000,3.130000,319.488818,"0175.png"
0.210000,1.000000,0.100000,3.230000,309.597523,"0176.png"
0.210000,1.000000,0.150000,3.340000,299.401198,"0177.png"
0.210000,1.000000,0.200000,3.440000,290.697674,"0178.png"
0.210000,1.000000,0.250000,3.530000,283.286119,"0179.png"
0.210000,1.250000,0.050000,2.640000,378.787879,"0180.png"
0.210000,1.250000,0.100000,2.760000,362.318841,"0181.png"
0.210000,1.250000,0.150000,2.860000,349.650350,"0182.png"
0.210000,1.250000,0.200000,2.940000,340.136054,"0183.png"
0.210000,1.250000,0.250000,3.050000,327.868852,"0184.png"
0.210000,1.500000,0.050000,2.300000,434.782609,"0185.png"
0.210000,1.500000,0.100000,2.420000,413.223140,"0186.png"
0.210000,1.500000,0.150000,2.510000,398.406375,"0187.png"
0.210000,1.500000,0.200000,2.620000,381.679389,"0188.png"
0.210000,1.500000,0.250000,2.710000,369.003690,"0189.png"
0.210000,1.750000,0.050000,2.040000,490.196078,"0190.png"
0.210000,1.750000,0.100000,2.160000,462.962963,"0191.png"
0.210000,1.750000,0.150000,2.250000,444.444444,"0192.png"
0.210000,1.750000,0.200000,2.350000,425.531915,"0193.png"
0.210000,1.750000,0.250000,2.460000,406.504065,"0194.png"
0.210000,2.000000,0.050000,1.880000,531.914894,"0195.png"
0.210000,2.000000,0.100000,1.970000,507.614213,"0196.png"
0.210000,2.000000,0.150000,2.080000,480.769231,"0197.png"
0.210000,2.000000,0.200000,2.170000,460.829493,"0198.png"
0.210000,2.000000,0.250000,2.280000,438.596491,"0199.png"
